repository_url,repository_language,repository_watchers
https://github.com/subtleGradient/javascript-tools.tmbundle,JavaScript,626
https://github.com/AFNetworking/AFNetworking,Objective-C,2557
https://github.com/netty/netty,Java,751
https://github.com/joshfng/railsready,Shell,529
https://github.com/defunkt/facebox,JavaScript,1695
https://github.com/saasbook/hw3_rottenpotatoes,Ruby,3230
https://github.com/johnezang/JSONKit,Objective-C,2174
https://github.com/BorisMoore/jsrender,JavaScript,599
https://github.com/nathanborror/django-basic-apps,Python,602
https://github.com/wr0ngway/rubber,Ruby,556
https://github.com/danvk/dygraphs,JavaScript,654
https://github.com/twitter/finagle,Scala,1000
https://github.com/escoz/QuickDialog,Objective-C,1226
https://github.com/defunkt/hub,Ruby,1128
https://github.com/restsharp/RestSharp,C#,661
https://github.com/creationix/wheat,JavaScript,627
https://github.com/rubiii/savon,Ruby,804
https://github.com/EllisLab/CodeIgniter,PHP,3121
https://github.com/mojombo/grit,Ruby,1286
https://github.com/cowboy/grunt,JavaScript,1210
https://github.com/abraham/twitteroauth,PHP,1247
https://github.com/mythz/jquip,JavaScript,1223
https://github.com/CocoaPods/CocoaPods,Ruby,897
https://github.com/codeguy/Slim,PHP,1249
https://github.com/kissyteam/kissy,JavaScript,521
https://github.com/jeremyevans/sequel,Ruby,677
https://github.com/prawnpdf/prawn,Ruby,1536
https://github.com/doctrine/doctrine2,PHP,1297
https://github.com/technomancy/leiningen,Clojure,1369
https://github.com/cinder/Cinder,C++,804
https://github.com/unconed/TermKit,JavaScript,3614
https://github.com/rsms/kod,Objective-C,2538
https://github.com/douglascrockford/JSLint,JavaScript,1130
https://github.com/AutoMapper/AutoMapper,C#,753
https://github.com/raganwald/homoiconic,Ruby,890
https://github.com/pdfkit/pdfkit,Ruby,1076
https://github.com/cldwalker/hirb,Ruby,636
https://github.com/vfr/Reader,Objective-C,743
https://github.com/robey/kestrel,Scala,1358
https://github.com/zwaldowski/BlocksKit,Objective-C,713
https://github.com/achiu/consular,Ruby,643
https://github.com/6wunderkinder/wunderlist,JavaScript,722
https://github.com/davatron5000/FitVids.js,JavaScript,776
https://github.com/appendto/amplify,JavaScript,666
https://github.com/holman/boom,Ruby,504
https://github.com/intridea/hashie,Ruby,591
https://github.com/intridea/oauth2,Ruby,709
https://github.com/yyx990803/HTML5-Clear,JavaScript,604
https://github.com/xaviershay/enki,Ruby,773
https://github.com/dpp/liftweb,Scala,639
https://github.com/ctran/annotate_models,Ruby,697
https://github.com/Caged/gitnub,Ruby,1100
https://github.com/alipay/alice,JavaScript,562
https://github.com/tpope/vim-fugitive,VimL,1928
https://github.com/carlhuda/janus,VimL,3180
https://github.com/robrighter/node-boilerplate,JavaScript,653
https://github.com/maccman/bowline,Ruby,656
https://github.com/samsoffes/sstoolkit,Objective-C,1070
https://github.com/balupton/history.js,JavaScript,2551
https://github.com/fog/fog,Ruby,1977
https://github.com/jcasimir/draper,Ruby,970
https://github.com/tenderlove/nokogiri,Ruby,1622
https://github.com/Gazler/githug,Ruby,767
https://github.com/yiisoft/yii,PHP,1084
https://github.com/sferik/rails_admin,Ruby,3011
https://github.com/ccoenraets/backbone-directory,PHP,589
https://github.com/madrobby/zepto,JavaScript,3341
https://github.com/pa7/heatmap.js,JavaScript,579
https://github.com/Kicksend/mailcheck,JavaScript,1721
https://github.com/midgetspy/Sick-Beard,Python,1419
https://github.com/harvesthq/chosen,JavaScript,6008
https://github.com/rmm5t/jquery-timeago,JavaScript,1083
https://github.com/jaz303/tipsy,JavaScript,1067
https://github.com/codeparty/derby,CoffeeScript,683
https://github.com/VeriteCo/Timeline,JavaScript,1247
https://github.com/b4winckler/macvim,C,2372
https://github.com/CloudMade/Leaflet,JavaScript,1932
https://github.com/nicklockwood/iCarousel,Objective-C,1063
https://github.com/miksago/node-websocket-server,JavaScript,677
https://github.com/mongodb/mongo-python-driver,Python,686
https://github.com/shoes/shoes,C,605
https://github.com/apache/couchdb,Erlang,1038
https://github.com/magicalpanda/MagicalRecord,Objective-C,1201
https://github.com/harrah/xsbt,Scala,1039
https://github.com/nrk/predis,PHP,564
https://github.com/jnunemaker/mongomapper,Ruby,1454
https://github.com/stonean/slim,Ruby,1093
https://github.com/elixir-lang/elixir,Elixir,733
https://github.com/yui/yui3,JavaScript,1678
https://github.com/ushahidi/Ushahidi_Web,PHP,507
https://github.com/ruboto/ruboto,Ruby,551
https://github.com/sstephenson/eco,CoffeeScript,889
https://github.com/wvanbergen/request-log-analyzer,Ruby,1064
https://github.com/remy/html5demos,JavaScript,1895
https://github.com/makeable/Notificon,JavaScript,869
https://github.com/paulasmuth/recommendify,Ruby,772
https://github.com/welaika/wordless,PHP,701
https://github.com/ryanb/cancan,Ruby,3263
https://github.com/Nyx0uf/NYXImagesKit,Objective-C,805
https://github.com/mileszs/wicked_pdf,Ruby,620
https://github.com/markevans/dragonfly,Ruby,857
https://github.com/jm/rails-templates,Ruby,546
https://github.com/martinrusev/amon,Python,690
https://github.com/baudehlo/Haraka,JavaScript,635
https://github.com/sporkrb/spork,Ruby,942
https://github.com/railsbp/rails_best_practices,Ruby,1208
https://github.com/javan/whenever,Ruby,2531
https://github.com/kuroir/SCSS.tmbundle,Ruby,558
https://github.com/madrobby/scriptaculous,JavaScript,2161
https://github.com/markitup/1.x,JavaScript,507
https://github.com/klbostee/dumbo,Python,591
https://github.com/PaulUithol/Backbone-relational,JavaScript,713
https://github.com/andi/simple-navigation,Ruby,538
https://github.com/thermogl/TISwipeableTableView,Objective-C,553
https://github.com/postrank-labs/goliath,Ruby,1042
https://github.com/johannilsson/android-pulltorefresh,Java,595
https://github.com/soulwire/Coffee-Physics,JavaScript,503
https://github.com/taitems/Aristo-jQuery-UI-Theme,JavaScript,1344
https://github.com/LeaVerou/animatable,JavaScript,639
https://github.com/igrigorik/em-synchrony,Ruby,525
https://github.com/codejoust/session.js,JavaScript,1025
https://github.com/sporkd/compass-html5-boilerplate,JavaScript,651
https://github.com/astro/gitpop,JavaScript,694
https://github.com/earle/django-bootstrap,Python,591
https://github.com/kchmck/vim-coffee-script,VimL,617
https://github.com/robbyrussell/oh-my-zsh,Shell,5216
https://github.com/php/php-src,C,2034
https://github.com/phonegap/phonegap-plugins,JavaScript,1350
https://github.com/collectiveidea/acts_as_audited,Ruby,598
https://github.com/functional-koans/clojure-koans,Clojure,622
https://github.com/arya/bluepill,Ruby,811
https://github.com/jasonmorrissey/JMTabView,Objective-C,535
https://github.com/rs/SafariOmnibar,Objective-C,549
https://github.com/imakewebthings/jquery-waypoints,JavaScript,1115
https://github.com/chriso/node.io,JavaScript,1026
https://github.com/teambox/teambox,Ruby,1373
https://github.com/ryanb/nested_form,Ruby,806
https://github.com/h5bp/html5-boilerplate,JavaScript,12358
https://github.com/justinfrench/formtastic,Ruby,3768
https://github.com/arashpayan/appirater,Objective-C,1067
https://github.com/avalanche123/Imagine,PHP,892
https://github.com/scrooloose/nerdtree,VimL,1489
https://github.com/github/markup,Ruby,759
https://github.com/github/gollum,Ruby,2003
https://github.com/trentrichardson/jQuery-Timepicker-Addon,,863
https://github.com/philc/vimium,JavaScript,740
https://github.com/malarkey/320andup,JavaScript,1076
https://github.com/blueimp/jQuery-File-Upload,JavaScript,5256
https://github.com/scrooloose/syntastic,VimL,720
https://github.com/andrewplummer/Sugar,JavaScript,850
https://github.com/fatfreecrm/fat_free_crm,Ruby,1820
https://github.com/ariya/phantomjs,C++,1965
https://github.com/MugunthKumar/MKNetworkKit,Objective-C,721
https://github.com/razorjack/quicksand,JavaScript,1068
https://github.com/tobi/clarity,Ruby,612
https://github.com/brunch/brunch,CoffeeScript,995
https://github.com/SignalR/SignalR,C#,1308
https://github.com/kripken/emscripten,JavaScript,1565
https://github.com/NancyFx/Nancy,C#,871
https://github.com/thoughtbot/factory_girl,Ruby,2054
https://github.com/desandro/isotope,JavaScript,1657
https://github.com/madrobby/vapor.js,Ruby,549
https://github.com/klazuka/Kal,Objective-C,760
https://github.com/malsup/form,JavaScript,1066
https://github.com/kevinrutherford/reek,Ruby,555
https://github.com/powmedia/backbone-forms,JavaScript,537
