home-assistant/core,Python
NixOS/nixpkgs,Nix
microsoft/vscode,TypeScript
flutter/flutter,Dart
MicrosoftDocs/azure-docs,Markdown
dotnet/runtime,C#
pytorch/pytorch,Python
odoo/odoo,JavaScript
element-fi/elf-council-frontend,CSS
godotengine/godot,C++
rust-lang/rust,Rust
elastic/kibana,TypeScript
archway-network/networks,Python
kubernetes/kubernetes,Go
grafana/grafana,TypeScript
microsoft/winget-pkgs,Unknown
microsoft/PowerToys,C#
solana-labs/token-list,Go
firstcontributions/first-contributions,Unknown
Homebrew/homebrew-core,Ruby
zephyrproject-rtos/zephyr,C
dotnet/roslyn,C#
WordPress/gutenberg,JavaScript
python/cpython,Python
elementor/elementor,JavaScript
ClickHouse/ClickHouse,C++
mdn/content,Markdown
cypress-io/cypress,JavaScript
AdguardTeam/AdguardFilters,Adblock Filter List
vercel/next.js,JavaScript
expo/expo,TypeScript
kubernetes/website,HTML
PaddlePaddle/Paddle,C++
ray-project/ray,Python
apache/airflow,Python
mui/material-ui,TypeScript
aws/aws-cdk,TypeScript
ValveSoftware/Dota2-Gameplay,Unknown
huggingface/transformers,Python
google/it-cert-automation-practice,Python
openshift/openshift-docs,HTML
DefinitelyTyped/DefinitelyTyped,TypeScript
dotnet/aspnetcore,C#
tensorflow/tensorflow,C++
microsoft/vcpkg,CMake
golang/go,Go
nodejs/node,JavaScript
elastic/elasticsearch,Java
flutter/engine,C++
microsoft/playwright,TypeScript
Automattic/wp-calypso,JavaScript
airbytehq/airbyte,Python
dotnet/maui,C#
hashicorp/terraform-provider-azurerm,Go
Homebrew/homebrew-cask,Ruby
tgstation/tgstation,DM
webcompat/web-bugs,Unknown
microsoft/TypeScript,TypeScript
Azure/azure-sdk-for-net,Unknown
microsoftgraph/microsoft-graph-docs,PowerShell
hashicorp/terraform-provider-aws,Go
ant-design/ant-design,TypeScript
CleverRaven/Cataclysm-DDA,C++
qmk/qmk_firmware,C
pandas-dev/pandas,Python
yt-dlp/yt-dlp,Python
ShadowMario/FNF-PsychEngine,Haxe
Azure/azure-cli,Python
angular/angular,TypeScript
quarkusio/quarkus,Java
facebook/react-native,Java
PrestaShop/PrestaShop,PHP
Koenkk/zigbee2mqtt,JavaScript
istio/istio,Go
apache/superset,TypeScript
brave/brave-core,HTML
nrwl/nx,TypeScript
education/GitHubGraduation-2022,Unknown
conan-io/conan-center-index,Python
envoyproxy/envoy,C++
LeetCode-Feedback/LeetCode-Feedback,Unknown
nextcloud/server,PHP
wjz304/Redpill_CustomBuild,Shell
element-plus/element-plus,Vue
ultralytics/yolov5,Python
getsentry/sentry,Python
Lightning-AI/lightning,Python
qgis/QGIS,C++
idsb3t1/KEEP-pipeline-tests-resources,Unknown
microsoft/onnxruntime,C++
Chia-Network/chia-blockchain,Python
prisma/prisma,TypeScript
Azure/azure-rest-api-specs,Unknown
cockroachdb/cockroach,Go
strapi/strapi,JavaScript
gitpod-io/gitpod,Go
llvm/llvm-project,Unknown
trinodb/trino,Java
systemd/systemd,C
openjournals/joss-reviews,Unknown
openvinotoolkit/openvino,C++
go-gitea/gitea,Go
magento/magento2,PHP
void-linux/void-packages,Shell
openjdk/jdk,Java
TP-Lab/tokens,Rich Text Format
microsoft/fluentui,TypeScript
uBlockOrigin/uAssets,Adblock Filter List
gradle/gradle,Groovy
ceph/ceph,C++
symfony/symfony,PHP
qbittorrent/qBittorrent,C++
trustwallet/assets,Go
apache/spark,Scala
backstage/backstage,TypeScript
gentoo/gentoo,Shell
microsoft/terminal,C++
mui/mui-x,TypeScript
Azure/azure-sdk-for-java,Java
woocommerce/woocommerce,PHP
sourcegraph/sourcegraph,Go
Ultimaker/Cura,Python
neovim/neovim,Vim Script
bitcoin/bitcoin,C++
metabase/metabase,Clojure
tachiyomiorg/tachiyomi-extensions,Kotlin
joomla/joomla-cms,PHP
dbeaver/dbeaver,Java
mdn/translated-content,Markdown
files-community/Files,C#
home-assistant/home-assistant.io,HTML
mozilla-mobile/fenix,Kotlin
Expensify/App,JavaScript
openwrt/openwrt,C
MicrosoftDocs/msteams-docs,HTML
spack/spack,Python
nuxt/framework,Unknown
github/docs,JavaScript
MetaMask/metamask-extension,JavaScript
storybookjs/storybook,TypeScript
spyder-ide/spyder,Python
electron/electron,C++
helium/denylist,Unknown
RocketChat/Rocket.Chat,TypeScript
MicrosoftDocs/microsoft-365-docs,PowerShell
project-chip/connectedhomeip,C++
vitejs/vite,TypeScript
laravel/framework,PHP
scikit-learn/scikit-learn,Python
keycloak/keycloak,Java
department-of-veterans-affairs/va.gov-team,HTML
apache/shardingsphere,Java
containers/podman,Go
solana-labs/solana,Rust
apache/arrow,C++
conda-forge/staged-recipes,Python
jlord/patchwork,Rich Text Format
ccxt/ccxt,Python
sveltejs/kit,JavaScript
apache/pulsar,Java
logseq/logseq,Clojure
apple/swift,C++
openssl/openssl,C
renovatebot/renovate,TypeScript
hashicorp/vault,Go
facebook/react,JavaScript
bitnami/charts,Smarty
brave/brave-browser,JavaScript
section-engineering-education/engineering-education,SCSS
microsoft/vscode-jupyter,TypeScript
Azure/azure-sdk-for-python,Python
cms-sw/cmssw,C++
appsmithorg/appsmith,TypeScript
AUTOMATIC1111/stable-diffusion-webui,Python
dotnet/docs,Dockerfile
JetBrains/swot,Kotlin
openshift/release,Shell
microsoft/WSL,PowerShell
ValveSoftware/Proton,C++
apache/hudi,Java
rancher/rancher,Go
openhab/openhab-addons,Java
SerenityOS/serenity,C++
home-assistant/frontend,TypeScript
pingcap/tidb,Go
metersphere/metersphere,Java
zulip/zulip,Python
JuliaLang/julia,Julia
cilium/cilium,Go
dotnet/efcore,C#
JuliaRegistries/General,Julia
PaddlePaddle/PaddleOCR,Python
argoproj/argo-cd,Go
RPCS3/rpcs3,C++
